Type of event/Region,country concerned|date and place |name of the event|organizer of the event|relevance for BIOPAMA|(call for) action|contacts / website|participants at the event
Africa|9-10 Feb, Brussels|DG DEVCO Africa Widlife Strategy|DG DEVCO||Sébastien will provide input to the meeting through JC Vié||
WCentral Africa|11 Feb, Brussels tbc|proposed meeting to discuss data collection Central Africa|JRC||||
ESA|8-13 Feb|Training of trainers for negotiations trainings|||||
Caribbean|16-25 February, Grenada|Training of Trainers on Marine Protected Area Management regional course|CaMPAM-BIOPAMA||call for participants online|http://www.biopama.org/learn_more/?18747/Call-for-participants-Caribbean-training-for-trainers|
ESA|22-28 Feb, Pretoria, South Africa|"Second Negotiation
training course for PA Managers in the ESA region"|||||
WCA|23-28 Feb, Yaoundé|CB toolkit development workshop|||||
publication launch|23/02/2015 - postpone until everything is fixed|Release of the printed and pdf versions of the Protected Area Governance and Management Book||BIOPAMA (and others)-funded|||
BIOPAMA Comms|12-03-2015|BIOPAMA dedicated newsletter||||Roxana|
WCA|16 March, Libreville Gabon|Working session on preparing next test phase of the BIOPAMA forms in WCA|||||
Pacific|17 March-13 April|PICCC phase 1|SPREP USP|BIOPAMA funded|call for participants online|http://www.biopama.org/learn_more/?18683/Pacific-Island-Community-Adaptive-Co-management-Course-PICCC--2015-apply-now|
publication launch|end March-beginning April|Study large mammals in WCA - EN and FR versions|BIOPAMA-SSC|BIOPAMA funded|joint BIOPAMA- Species press release||
Africa|2-6 March, Egypt|African Min Conference on Envi||ESARO event on PA-Extractive industries (Christine will contribute to it)|? story||Marie (business and bidi) and Luther- ESARO; Jean Marc (PACO)
BIOPAMA meeting|23-27 March, Ispra|BIOPAMA meeting|||||
WCA|23 March- 3 April|Test phase 2 in Gabon, in Libreville|BIOPAMA WCA (data collection)/ WCS contracted to lead|COMIT tested|||
BIOPAMA comms|09-04-2015|newsletter|||||
WCA||Test phase 2 for validation; followed by data collection between July and Dec 2015|||||
? WCMC|?|"launch of the new ""Protected Planet"" website"|UNEP WCMC||||
WCA|COMIT publication|publication launch - COMIT|||||
Southern Africa|April-July|National workshops post WPC in the SADC countries|ESARO - tbd BIOPAMA's contribution||||
ESA- EAC|May tbc|technical officer for EAC Observatory to start tbc|||||
WCA|tbc, May|Training of 24 coaches (national experts)|||||
BIOPAMA|Brussels tbc|presentation at ACP S/C of Ambassadors on Sustainable Development|||||
Africa|19-21 May|Africa Rising: Mobilising Biodiversity Data for Sustainable Development|SANBI|BIOPAMA invited to host a session|ESA and WCA prepare a session: contact- Selwyn|http://www.sanbi.org/news/sanbi-host-africa-rising-mobilising-biodiversity-data-sustainable-development-conference|
international|22-05-2015|"International Day on Biodiversity: Biodiversity
for sustainable development"|UN||||
Europe with international scope|3-4 June|European Development Days 2015|European Commission||||
international|5 June, worldwide|World Environment Day|UNEP||||
Congo Basin Forest Partnership Meeting||Congo Basin Forest Partnership Meeting, and PA development days|CBFP|UICN organises the event. Sebastien coordinates the PA days.|aim to organize BIOPAMA-related meeting/ event?||
BIOPAMA comms|25-06-2015|BIOPAMA newsletter||||Roxana|
ORO Regional Conservation Forum|13-15 July, Suva|ORO regional conservation forum (! other potential meetings associated tbd)|IUCN (prep WCC2016)||||
Africa (ESA and WCA)|27 to 30 July, 2015, Kenya, Nairobi|Building Capacity for Conservation & Resource Management in Africa|ERT Conservation||Christine and PAPACO are liaising with the organizers|http://www.ert-conservation.co.uk/africa_introduction.php|
publication launch|by July|"Launch of the guidelines ""Responding to climate change"""||BIOPAMA (and others)- funded||"consultation draft: http://worldparkscongress.org/programme/stream_responding_to_climate_change.html

"|
Southern Africa|tbc|Regional workshop - post WPC vision|ESARO - tbd BIOPAMA's contribution||||
|||||||
|||||||
PACO regional conservation forum|unknown yet, between July and September||||||
ORMACC Regional Conservation Forum|2-4 September, Panama|ORMACC Regional Conservation Forum|ORMACC||BIOPAMA results to inform motions to WCC 2016||
BIOPAMA|tbc, Brussels|Steering Committee Meeting Y4|||||
ESARO Regional Conservation Forum|30 September - 2 October, Nairobi|ESARO Regional Conservation Forum|IUCN (prep WCC2016)||||
BIOPAMA-DEVCO|tbc, Brussels|BIOPAMA presentation at the DEVCO info point|||||
UNFCCC|30 Nov-11 Dec|UNFCCC COP 21||ACP request to organize a side event|communications||
